Region,Code,Area_name,All_Residents,age20to29,Age30to49,Age50to69,Age70andover,Leave_votes,Remain_votes,Percent_Leave,Percent_Remain,Percent_Turnout,Voting
East,E07000104,Welwyn Hatfield,110535,19201,29232,22353,12629,31060,27550,52.99,47.01,75.04,Leave
East Midlands,E07000155,South Northamptonshire,85189,7192,24783,23112,9645,30771,25853,54.34,45.66,79.46,Leave
South West,E07000048,Christchurch,47752,3945,10758,12945,10673,18268,12782,58.83,41.17,79.3,Leave
South East,E07000215,Tandridge,82998,7902,23044,21220,10856,27169,24251,52.84,47.16,80.36,Leave
East,E06000055,Bedford,157479,19774,44531,35471,17823,44569,41497,51.78,48.22,72.06,Leave
East Midlands,E07000154,Northampton,212069,32295,62369,43694,19871,61454,43805,58.38,41.62,72.68,Leave
South East,E07000106,Canterbury,151145,24880,34328,34720,20495,41879,40169,51.04,48.96,75.05,Leave
West Midlands,E07000199,Tamworth,76813,9925,21675,18618,7411,28424,13705,67.47,32.53,74.18,Leave
Yorkshire and The Humber,E08000036,Wakefield,325837,40339,90468,80809,38240,116165,58877,66.36,33.64,71.17,Leave
London,E09000012,Hackney,246270,55523,83903,32955,12092,22868,83398,21.52,78.48,65.18,Remain
East,E07000203,Mid Suffolk,96731,9122,25090,26912,13435,33794,27391,55.23,44.77,78.16,Leave
North East,E08000021,Newcastle upon Tyne,280177,58960,69928,55418,28430,63598,65405,49.3,50.7,67.67,Remain
South East,E07000226,Crawley,106597,15860,32929,20727,10061,31447,22388,58.41,41.59,73.24,Leave
South East,E07000085,East Hampshire,115608,10483,30904,31208,15656,36576,37346,49.48,50.52,81.65,Remain
North West,E06000006,Halton,125746,16165,34284,31185,12716,37327,27678,57.42,42.58,68.26,Leave
East Midlands,E07000140,South Holland,88270,9228,22716,23432,14201,36423,13074,73.59,26.41,75.37,Leave
Yorkshire and The Humber,E08000035,Leeds,751485,131734,206204,152742,79378,192474,194863,49.69,50.31,71.39,Remain
North West,E08000012,Liverpool,466415,90602,124037,96755,47781,85101,118453,41.81,58.19,64.08,Remain
London,E09000017,Hillingdon,273936,42812,80539,52513,25543,74982,58040,56.37,43.63,68.99,Leave
